"시군구명","어린이집코드","어린이집명","어린이집유형","운영현황","우편번호","상세주소","전화번호","팩스번호","홈페이지주소","보육실수","보육실 면적","놀이터수","CCTV총설치수","보육교직원수","정원","현원","시설 위도(좌표값)","시설 경도(좌표값)","통학차량운영여부","인가일자","휴지시작일자","휴지종료일자","폐지일자","데이터기준일자","제공서비스","반수-만0세","반수-만1세","반수-만2세","반수-만3세","반수-만4세","반수-만5세","반수-영아혼합(만0~2세)","반수-유아혼합(만3~5세)","반수-특수장애","반수-총계","아동수-만0세","아동수-만1세","아동수-만2세","아동수-만3세","아동수-만4세","아동수-만5세","아동수-영아혼합(만0~2세)","아동수-유아혼합(만3~5세)","아동수-특수장애","아동수-총계","근속년수-1년미만","근속년수-1년이상~2년미만","근속년수-2년이상~4년미만","근속년수-4년이상~6년미만","근속년수-6년이상","교직원현황-원장","교직원현황-보육교사","교직원현황-특수교사","교직원현황-치료교사","교직원현황-영양사","교직원현황-간호사","교직원현황-간호조무사","교직원현황-조리원","교직원현황-사무직원","교직원현황-총계","데이터수집일"
"구로구","11530000645","구로행복어린이집","직장","정상","08362","서울특별시 구로구 부광로 88 1층","02-6341-2331","02-6341-2333","https://www.puruni.com/skecoplant","3","165","1","13","4","49","5","37.47726864014455","126.81682778984279","미운영","2021-10-01","","","","2021-11-17","일반","0","2","0","0","0","0","0","0","0","2","0","5","0","0","0","0","0","0","0","5","0","0","0","0","0","1","2","0","0","0","0","0","1","0","4","2021-11-17 22:03:54.0"
"구로구","11530000644","비룡어린이집","국공립","정상","08245","서울특별시 구로구 고척로33길 43","02-2619-9933","02-2619-9965","서울시 보육포털서비스 비룡어린이집","6","328","2","12","11","76","64","37.50441547753706","126.84826724796043","미운영","2021-09-01","","","","2021-11-17","야간연장","0","0","2","1","1","1","0","0","0","5","0","0","14","14","19","17","0","0","0","64","0","0","0","0","0","1","8","0","0","0","0","0","1","0","11","2021-11-17 22:03:55.0"
"구로구","11530000643","원진어린이집","국공립","정상","08241","서울특별시 구로구 고척로55길 21 (고척동 원진어린이집)","02-2684-7444","02-2625-1608","wonjin7475","9","598","5","16","11","79","71","37.50580780267555","126.85567519505748","미운영","2021-05-01","","","","2021-11-17","일반","0","1","1","1","1","1","1","0","0","6","0","5","7","15","20","19","5","0","0","71","0","0","0","0","0","1","8","0","0","0","0","0","1","0","11","2021-11-17 22:03:55.0"
"구로구","11530000641","꿈동산어린이집","국공립","정상","08328","서울특별시 구로구 남부순환로95길 16 101동 101호(개봉동 삼호아파트)","02-2618-9382","","","3","85","0","4","9","19","19","37.49407618165247","126.85896580226314","미운영","2021-03-01","","","","2021-11-17","야간연장","1","3","1","0","0","0","2","0","0","7","3","10","6","0","0","0","0","0","0","19","0","0","0","0","0","1","7","0","0","0","0","0","1","0","9","2021-11-17 22:03:54.0"
"구로구","11530000642","현대열린어린이집","국공립","정상","08329","서울특별시 구로구 개봉로20길 6 현대아파트 1단지내(개봉역입구쪽)","02-6091-1004","","","5","164","1","10","13","62","62","37.49308490126599","126.85882066339077","미운영","2021-03-01","","","","2021-11-17","야간연장","0","1","2","1","1","0","0","1","0","6","0","5","13","13","13","0","0","18","0","62","1","0","0","0","0","1","10","0","0","0","0","0","1","0","13","2021-11-17 22:03:56.0"
"구로구","11530000639","푸르니어린이집","국공립","정상","08211","서울특별시 구로구 신도림로 16 302동 104호","02-2633-3389","","http://cafe.daum.net/puruni79","4","60","0","5","7","19","19","37.50598445334374","126.8807601177545","미운영","2021-01-01","","","","2021-11-17","일반","2","5","2","0","0","0","2","0","0","11","3","9","7","0","0","0","0","0","0","19","0","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2021-11-17 22:03:55.0"
"구로구","11530000640","하영어린이집","국공립","정상","08211","서울특별시 구로구 신도림로 16 406동102호","02-2672-3331","","","4","60","0","5","8","20","20","37.50574820552755","126.87991084307384","","2021-01-01","","","","2021-11-17","일반","2","2","1","0","0","0","1","0","0","6","4","8","6","0","0","0","2","0","0","20","0","0","0","0","0","1","6","0","0","0","0","0","1","0","8","2021-11-17 22:03:55.0"
"구로구","11530000638","보배사랑어린이집","국공립","정상","08218","서울특별시 구로구 중앙로12길 7 101동 101호","02-2619-3377","02-2619-3377","","3","84","0","4","7","19","19","37.505720170148884","126.86149991896883","미운영","2020-12-01","","","","2021-11-17","일반","1","2","1","0","0","0","2","0","0","6","3","5","5","0","0","0","6","0","0","19","0","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2021-11-17 22:03:55.0"
"구로구","11530000637","별하어린이집","국공립","정상","08368","서울특별시 구로구 항동로 68 하버라인9단지 관리동 내","02-2682-0996","02-2682-0995","","4","166","2","7","9","49","47","37.480237703654495","126.82592750041213","미운영","2020-08-18","","","","2021-11-17","일반","0","0","2","1","0","0","0","1","0","4","0","0","14","15","0","0","0","18","0","47","0","0","0","0","0","1","7","0","0","0","0","0","1","0","9","2021-11-17 22:03:55.0"
"구로구","11530000636","해바라기어린이집","국공립","정상","08368","서울특별시 구로구 항동로 8 관리동","02-2060-5887","","","4","130","2","6","10","45","45","37.47697263973236","126.82063280511778","미운영","2020-07-23","","","","2021-11-17","야간연장","0","0","1","1","1","1","0","0","0","4","0","0","7","9","16","13","0","0","0","45","0","0","0","0","0","1","7","0","0","0","0","0","1","0","10","2021-11-17 22:03:55.0"
