"교육청명","교육지원청명","유치원코드","유치원명","설립유형","대표자명","원장명","설립일","개원일","주소","전화번호","홈페이지","운영시간","만3세학급수","만4세학급수","만5세학급수","혼합학급수","특수학급수","만3세유아수","만4세유아수","만5세유아수","혼합유아수","특수유아수","공시차수"
"서울특별시교육청","남부교육지원청","1ecec08c-ed2f-b044-e053-0a32095ab044","서울아람유치원","사립(사인)","조임숙","조임숙","20030317","20030317","서울특별시 구로구 고척로25길 62","02-2612-3269","","09시00분~18시30분","1","1","1","0","","13","12","26","0","","20192"
"서울특별시교육청","남부교육지원청","1ecec08c-eecb-b044-e053-0a32095ab044","정훈유치원","사립(사인)","허태근","허지영","19990601","19990601","서울특별시 구로구 경인로 382","02-2683-6833","","07시00분~19시00분","1","2","2","0","","35","46","40","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08c-efa0-b044-e053-0a32095ab044","미림유치원","사립(사인)","박성근","최경선","19820610","19820610","서울특별시 구로구 개봉로18길 37","02-2612-1006","http://www.미림유치원.kr/","07시20분~19시20분","","","1","1","","","","23","32","","20212"
"서울특별시교육청","남부교육지원청","1ecec08c-f052-b044-e053-0a32095ab044","서울세곡초등학교병설유치원","공립(병설)","박정애","박정애","20131226","20140618","서울특별시 구로구 고척로33길 34","02-2060-2686","http://www.segok.es.kr","07시30분~19시30분","1","1","2","0","","6","11","21","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08c-f1b3-b044-e053-0a32095ab044","서울개봉초등학교병설유치원","공립(병설)","손창호","손창호","20000215","20000215","서울특별시 구로구 개봉로16길 30-11","02-2616-8755","http://gaebong.sen.es.kr","09시00분~20시00분","1","2","1","0","1","16","31","24","0","4","20212"
"서울특별시교육청","남부교육지원청","1ecec08c-f1b4-b044-e053-0a32095ab044","서울영서초등학교병설유치원","공립(병설)","안이섭","안이섭","19920306","19920306","서울특별시 구로구 도림로20길 57","02-861-6971","http://www.youngseo.es.kr","07시00분~19시00분","1","1","1","0","1","9","14","19","0","4","20212"
"서울특별시교육청","남부교육지원청","1ecec08c-f321-b044-e053-0a32095ab044","나비유치원","사립(사인)","조영숙","이시은","19760526","19820526","서울특별시 구로구 고척로 30","02-2612-6237","","09시20분~17시30분","1","1","2","0","","6","13","41","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08c-f32a-b044-e053-0a32095ab044","준희유치원","사립(사인)","김성연","김성연","19870122","19870122","서울특별시 구로구 경인로19길 8","02-2614-4845","http://www.junheekids.com","09시00분~20시00분","","","","1","","","","","20","","20192"
"서울특별시교육청","남부교육지원청","1ecec08c-f3e4-b044-e053-0a32095ab044","새두산유치원","사립(사인)","정인숙","정인숙","19981219","19990310","서울특별시 구로구 도림로 59","02-854-4133","http://www.sdskinder.kr","07시30분~19시30분","1","1","1","0","","21","12","23","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08c-f3f7-b044-e053-0a32095ab044","세희유치원","사립(사인)","박현선","박현선","19891118","19891118","서울특별시 구로구 도림로 107","02-854-3309","","09시00분~20시00분","1","1","1","0","","9","28","21","0","","20212"
"서울특별시교육청","남부교육지원청","1ecec08c-f5d6-b044-e053-0a32095ab044","서울매봉초등학교병설유치원","공립(병설)","정인자","정인자","20040301","20040301","서울특별시 구로구 고척로21길 55","070-8622-4871","http://www.maebong.es.kr","07시00분~20시00분","1","1","1","0","","10","15","22","0","","20212"
